Abbreviation,Title,Authors,Year,URL,Citation,GitHub,Task,Target,DR Requirements,Input Data,Output Format,Output Complexity,Interactive,Layout Enrichment,Evaluation Type,Quantitative Measures,Latex Linebreak
t-SNE Gradients,Gradient-based explanation for non-linear non-parametric dimensionality reduction,"Corbugy, Sacha; Marion, Rebecca; Frénay, Benoît",2024,https://doi.org/10.1007/s10618-024-01055-6,\cite{corbugy2024gradient},\github{https://github.com/sady410/tsne_gradients_explanation},\taskProbeHDtoLD,\targetGlobal,t-SNE,\inputNumeric,"LD geometric, FI: model-derived (DR gradients)",\scalabilityNone,\vizStatic,"spatial, direct",0,0,\\
iHELP,iHELP: interactive hierarchical linear projections for interpreting non-linear projections,"Zeng, Xingchen; Zhou, Haowen; Li, Zhicong; Zhang, Chenqi; Lin, Juncong; Xia, Jiazhi; Yang, Yanyi; Kui, Xiaoyan",2022,https://link.springer.com/10.1007/s12650-022-00900-4,\cite{zeng2023ihelp},0,\taskCharacterize,\targetTrajectory,\DRagnostic,\inputNumeric,"clustering, LD geometric, FI: statistics (correlation)",\aggregation ,\vizInteractive,\LEnone,"\evalFeedback, \evalQuantitative",\measureFidelity,\\
InfoClus,InfoClus: Informative Clustering of High-dimensional Data Embeddings,"Lai, Fuyin; Heiter, Edith; Bied, Guillaume; Lijffijt, Jefrey",2025,https://link.springer.com/chapter/10.1007/978-3-032-05962-8_28,\cite{lai2025infoclus},\github{https://github.com/aida-ugent/InfoClus},\taskDiscriminateData,\targetCluster,\DRagnostic,"\inputNumeric, categorical or mixed","clustering, FI: statistics (KL-divergence)",\sparsity,\vizStatic,\LEnone,\evalQuantitative,\measureComplexity,\\
ProjectionExplorer,Interactive tools for explaining multidimensional projections for high-dimensional tabular data,"Thijssen, Julian; Tian, Zonglin; Telea, Alexandru",2024,https://linkinghub.elsevier.com/retrieve/pii/S0097849324001225,\cite{thijssen2024interactive},\github{https://github.com/JulianThijssen/ProjectionExplorer},\taskCharacterize,\targetPoint,\DRagnostic,\inputNumeric,FI: statistics (variance),\cutoff,\vizInteractive,\LEnone,\evalLabStudy,"\measureSatisfaction, \measureTaskAccuracy",\\
IXVC,IXVC: An interactive pipeline for explaining visual clusters in dimensionality reduction visualizations with decision trees,"Bibal, Adrien; Clarinval, Antoine; Dumas, Bruno; Frénay, Benoît",2021,https://linkinghub.elsevier.com/retrieve/pii/S259000562100028X,\cite{bibal2021ixvc},0,\taskDiscriminateComplement,\targetCluster,\DRagnostic,\inputNumeric,trees or rules,\scalabilityNone,\vizInteractive,\LEnone,"\evalFeedback, \evalLabStudy",\measureSatisfaction,\\
JIT,"Just-in-time annotation of clusters, outliers, and trends in point-based data visualizations","Kandogan, Eser",2012,https://ieeexplore.ieee.org/document/6400487/?arnumber=6400487&tag=1,\cite{kandogan2012just},0,\taskCharacterizeCo,\targetCluster,\DRagnostic,"\inputNumeric, categorical or mixed","clustering, trees or rules",\scalabilityNone,\vizInteractive,cluster,0,0,\\
LAVA,LAVA: Explainability for Unsupervised Latent Embeddings,"Ivan Stresec, Joana P. Gonçalves",2025,https://arxiv.org/abs/2509.21149,\cite{stresec2025lava},0,\taskCharacterize,\targetGlobal,\DRagnostic,\inputNumeric,"FI:  statistics (correlation, matrix factorization), LD geometric",\scalabilityNone,\vizStatic,\LEnone,0,0,\\
Metric Learning,Metric Learning in Dimensionality Reduction:,"Schulz, Alexander; Hammer, Barbara",2015,http://www.scitepress.org/DigitalLibrary/Link.aspx?doi=10.5220/0005200802320239,\cite{schulz2015metric},0,\taskCharacterize,\targetGlobal,\DRagnostic,\inputNumeric,FI: model-derived (metric learning),\scalabilityNone,\vizStatic,\LEnone,\evalQuantitative,\measureFidelity,\\
X-MAP,Opening the black-box of Neighbor Embeddings with Hotelling’s T 2 statistic and Q -residuals,"Rainer, Roman Josef; Mayr, Michael; Himmelbauer, Johannes; Nikzad-Langerodi, Ramin",2023,https://linkinghub.elsevier.com/retrieve/pii/S0169743923000904,\cite{rainer2023opening},\github{https://github.com/software-competencecenter-hagenberg/XMAP},\taskDiscriminateExplicit,\targetCluster,PCA first,\inputNumeric,FI: statistics (Hotelling's T2),\scalabilityNone,\vizInteractive,spatial,0,0,\\
DeepSE,Semantic Explanation of Interactive Dimensionality Reduction,"Bian, Yali; North, Chris; Krokos, Eric; Joseph, Sarah",2021,https://doi.org/10.1109/VIS49827.2021.9623322,\cite{bian2021semantic},0,\taskProbeHDtoLD,\targetPoint,OOS,textual,"HD feature change, LD geometric",\cutoff,\vizInteractive,direct,0,0,\\
ProjCloud,Semantic Wordification of Document Collections,"Paulovich, Fernando V.; Toledo, Franklina M. B.; Telles, Guilherme P.; Minghim, Rosane; Nonato, Luis Gustavo",2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8659.2012.03107.x,\cite{paulovich2012semantic},0,\taskCharacterizeCo,\targetCluster,\DRagnostic,textual,FI: statistics (spectral),\cutoff,\vizInteractive,cluster,0,0,\\
SemCSE-Multi,SemCSE-Multi: Multifaceted and Decodable Embeddings for Aspect-Specific and Interpretable Scientific Domain Mapping,"Brinner, Zarrieß",2025,https://aclanthology.org/2026.acl-long.1884/,\cite{brinner2026semcse},0,\taskProbeLDtoHD,\targetPoint,differentiable,textual,natural language,\scalabilityNone,\vizStatic,\LEnone,\evalQuantitative,\measureFidelity,\\
SlowMoMan,SlowMoMan: a web app for discovery of important features along user-drawn trajectories in 2D embeddings,"Deol, Kiran; Weber, Griffin M; Yu, Yun William",2024,https://academic.oup.com/bioinformaticsadvances/article/doi/10.1093/bioadv/vbae095/7697109,\cite{deol2024slowmoman},0,\taskCharacterize,\targetTrajectory,\DRagnostic,\inputNumeric,FI: statistics (autocorrelation),\cutoff,\vizInteractive,\LEnone,0,0,\\
ccPCA,Supporting Analysis of Dimensionality Reduction Results with Contrastive Learning,"Fujiwara, Takanori; Kwon, Oh-Hyun; Ma, Kwan-Liu",2020,https://ieeexplore.ieee.org/abstract/document/8805461,\cite{fujiwara2020supporting},0,\taskDiscriminateComplement,\targetCluster,\DRagnostic,\inputNumeric,FI: statistics (EVD),\aggregation,\vizInteractive,\LEnone,0,0,\\
t-viSNE,T-viSNE: Interactive Assessment and Interpretation of t-SNE Projections,"Chatzimparmpas, Angelos; Martins, Rafael M; Kerren, Andreas",2020,https://ieeexplore.ieee.org/document/9064929,\cite{chatzimparmpas2020t},\github{https://github.com/angeloschatzimparmpas/t-viSNE},\taskCharacterize,\targetTrajectory,t-SNE,\inputNumeric ,FI: statistics (correlation),\cutoff,\vizInteractive,\LEnone,\evalLabStudy,"\measureTaskTime, \measureSatisfaction",\\
TabEE,TabEE: Tabular Embeddings Explanations,"Copul, Roni; Frost, Nave; Milo, Tova; Razmadze, Kathy",2024,https://doi.org/10.1145/3639329,\cite{copul2024tabee},\github{https://github.com/KathyRaz/TabEE},\taskDiscriminateData,\targetCluster,\DRagnostic,"\inputNumeric, categorical or mixed","FI: statistics (JS-divergence), clustering",\cutoff,\vizStatic,\LEnone,"\evalQuantitative, \evalLabStudy","\measureRobustness, \measureDiversity, \measureFidelity, \measureTaskAccuracy",\\
DimWise,Towards Explainable Graph Embeddings for Gait Assessment Using Per-Cluster Dimensional Weighting,"Lochhead, C.; Fisher, R.B.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010326379&doi=10.3390%2Fs25134106&partnerID=40&md5=22063baf641db2cc2be0185d0f37d75f,\cite{lochhead2025towards},0,\taskDiscriminateExplicit,\targetCluster,\DRagnostic,specific: graph-based gait sequence,FI: statistics (variance),\aggregation,\vizStatic,\LEnone,\evalQuantitative,\measureFidelity,\\
CSM,Uncovering Representative Groups in Multidimensional Projections,"Joia, P.; Petronetto, F.; Nonato, L.g.",2015,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12640,\cite{joia2015uncovering},0,\taskCharacterizeCo,\targetCluster,\DRagnostic,\inputNumeric,"clustering, FI: statistics (SVD)",\cutoff,\vizStatic,cluster,0,0,\\
Variance-based Region Annotation,Understanding attribute variability in multidimensional projections,"Pagliosa, Lucas; Pagliosa, Paulo; Nonato, Luis Gustavo",2017,https://doi.org/10.1109/SIBGRAPI.2016.048,\cite{pagliosa2016understanding},0,\taskCharacterizeCo,\targetCluster,\DRagnostic,\inputNumeric,"FI: statistics (variance), clustering",\scalabilityNone,\vizInteractive,spatial,0,0,\\
NNInv,UnProjection: Leveraging Inverse-Projections for Visual Analytics of High-Dimensional Data,"Espadoto, Mateus; Appleby, Gabriel; Suh, Ashley; Cashman, Dylan; Li, Mingwei; Scheidegger, Carlos; Anderson, Erik W.; Chang, Remco; Telea, Alexandru C.",2023,https://ieeexplore.ieee.org/document/9606529/,\cite{espadoto2021unprojection},0,\taskProbeLDtoHD,\targetPoint,\DRagnostic,"\inputNumeric, image","LD geometric, HD feature change",\scalabilityNone,\vizStatic,spatial,\evalQuantitative,\measureFidelity,\\
VERA,VERA: Generating Visual Explanations of Two-Dimensional Embeddings via Region Annotation,"Poličar, Pavlin G.; Zupan, Blaž",2024,http://arxiv.org/abs/2406.04808,\cite{policar2024vera},\github{https://github.com/pavlin-policar/vera},"\taskDiscriminateComplement, \taskCharacterizeCo",\targetCluster,\DRagnostic,"\inputNumeric, categorical or mixed","clustering, trees or rules","\cutoff, \sparsity",\vizStatic,cluster,\evalLabStudy,"\measureTaskAccuracy, \measureTaskTime, \measureSatisfaction",\\
"LAPS, VisExPreS",VisExPreS: A Visual Interactive Toolkit for User-driven Evaluations of Embeddings,"Ghosh, Aindrila; Nashaat, Mona; Miller, James; Quader, Shaikh",2022,https://doi.org/10.1109/TVCG.2020.3039106,\cite{ghosh2022interpretation}\par\cite{ghosh2020visexpres},0,\taskCharacterize,\targetPoint,\DRagnostic,"\inputNumeric, categorical or mixed",FI: statistics (correlation),\cutoff,\vizInteractive,\LEnone,\evalLabStudy,"\measureTaskAccuracy, \measureTaskTime, \measureSatisfaction",\\
